X,Y
0.0,-5.2763057
0.00010001,-5.2710238
0.00020002,-5.26359
0.00030003,-5.249628
0.00040004,-5.2356644
0.00050005,-5.2216997
0.00060006,-5.2077384
0.00070007,-5.1912603
0.00080008,-5.172884
0.00090009003,-5.154502
0.0010001,-5.1361217
0.00110011,-5.117741
0.00120012,-5.099362
0.00130013,-5.0809793
0.00140014,-5.062601
0.0015001501,-5.0442176
0.00160016,-5.025839
0.00170017,-5.007458
0.0018001801,-4.989078
0.00190019,-4.9706993
0.0020002,-4.9523153
0.00210021,-4.9339356
0.00220022,-4.915556
0.00230023,-4.897177
0.00240024,-4.878795
0.00250025,-4.860417
0.00260026,-4.842036
0.00270027,-4.823655
0.00280028,-4.805275
0.00290029,-4.786894
0.0030003001,-4.7685146
0.00310031,-4.750136
0.00320032,-4.731753
0.0033003301,-4.713376
0.00340034,-4.6949925
0.00350035,-4.6766133
0.0036003601,-4.658232
0.00370037,-4.63985
0.00380038,-4.621474
0.0039003901,-4.603095
0.0040004,-4.5847116
0.0041004103,-4.566334
0.00420042,-4.547955
0.00430043,-4.529573
0.00440044,-4.511189
0.00450045,-4.4928107
0.00460046,-4.474429
0.0047004703,-4.4560475
0.00480048,-4.437667
0.00490049,-4.419291
0.0050005,-4.4009094
0.00510051,-4.3825274
0.00520052,-4.3641453
0.00530053,-4.345765
0.00540054,-4.3273854
0.00550055,-4.309007
0.00560056,-4.2906275
0.00570057,-4.272247
0.00580058,-4.2538676
0.00590059,-4.235485
0.0060006003,-4.2171035
0.00610061,-4.198727
0.00620062,-4.1803455
0.00630063,-4.1619654
0.00640064,-4.143583
0.00650065,-4.125207
0.0066006603,-4.106825
0.00670067,-4.0884414
0.00680068,-4.0700636
0.00690069,-4.0516834
0.0070007,-4.0333014
0.00710071,-4.0149236
0.0072007203,-3.996542
0.00730073,-3.9781628
0.00740074,-3.959783
0.00750075,-3.9414015
0.00760076,-3.9230208
0.00770077,-3.9046383
0.0078007802,-3.886259
0.00790079,-3.8678775
0.0080008,-3.8494973
0.00810081,-3.831119
0.008200821,-3.8127384
0.00830083,-3.7943573
0.00840084,-3.7759743
0.00850085,-3.757596
0.00860086,-3.7392159
0.00870087,-3.7208366
0.00880088,-3.7024584
0.00890089,-3.6840777
0.0090009,-3.665697
0.00910091,-3.647315
0.00920092,-3.6289368
0.00930093,-3.6105552
0.0094009405,-3.5921726
0.00950095,-3.5737944
0.00960096,-3.555417
0.00970097,-3.537033
0.00980098,-3.5186548
0.00990099,-3.5002704
0.010001,-3.4818926
0.01010101,-3.4635146
0.01020102,-3.445131
0.01030103,-3.4267526
0.01040104,-3.4083753
0.01050105,-3.3899908
0.01060106,-3.3716104
0.010701071,-3.353232
0.01080108,-3.3348513
0.01090109,-3.316469
0.0110011,-3.2980878
0.01110111,-3.2797108
0.01120112,-3.2613277
0.01130113,-3.2429485
0.01140114,-3.2245684
0.01150115,-3.206187
0.01160116,-3.1878088
0.01170117,-3.1694274
0.01180118,-3.1510468
0.0119011905,-3.1326654
0.012001201,-3.1142857
0.01210121,-3.0959055
0.01220122,-3.0775254
0.01230123,-3.0591488
0.01240124,-3.0407648
0.01250125,-3.0223837
0.01260126,-3.0040088
0.01270127,-2.9856265
0.01280128,-2.967245
0.01290129,-2.9488647
0.0130013,-2.9304838
0.0131013105,-2.9121046
0.013201321,-2.8937228
0.01330133,-2.8753438
0.01340134,-2.8569655
0.01350135,-2.8385808
0.01360136,-2.8201997
0.01370137,-2.801821
0.01380138,-2.7834413
0.01390139,-2.7650614
0.0140014,-2.7466788
0.01410141,-2.7283015
0.01420142,-2.7099204
0.01430143,-2.6915379
0.0144014405,-2.6731584
0.014501451,-2.6547794
0.01460146,-2.6363993
0.01470147,-2.6180196
0.01480148,-2.599637
0.01490149,-2.5812564
0.0150015,-2.5628784
0.01510151,-2.544495
0.01520152,-2.5261157
0.01530153,-2.5077398
0.01540154,-2.4893577
0.01550155,-2.4709775
0.0156015605,-2.4525943
0.01570157,-2.434215
0.01580158,-2.4158366
0.01590159,-2.3974552
0.0160016,-2.379075
0.01610161,-2.3606954
0.01620162,-2.3423119
0.01630163,-2.3239353
0.016401641,-2.3055544
0.01650165,-2.2871723
0.01660166,-2.268793
0.01670167,-2.250412
0.01680168,-2.2320325
0.01690169,-2.2136517
0.0170017,-2.195272
0.01710171,-2.176893
0.01720172,-2.1585126
0.01730173,-2.1401308
0.01740174,-2.1217523
0.017501751,-2.1033683
0.01760176,-2.084989
0.01770177,-2.0666108
0.01780178,-2.0482285
0.01790179,-2.0298505
0.0180018,-2.0114694
0.01810181,-1.9930876
0.01820182,-1.9747087
0.01830183,-1.9563285
0.01840184,-1.9379483
0.01850185,-1.9195682
0.01860186,-1.9011875
0.01870187,-1.8828057
0.018801881,-1.8644277
0.01890189,-1.8460459
0.0190019,-1.8276678
0.01910191,-1.8092889
0.01920192,-1.7909042
0.01930193,-1.7725259
0.01940194,-1.7541467
0.01950195,-1.735766
0.01960196,-1.7173837
0.01970197,-1.6990019
0.01980198,-1.6806227
0.01990199,-1.6622435
0.020002,-1.6438628
0.020102011,-1.6254822
0.02020202,-1.6071032
0.02030203,-1.5887214
0.02040204,-1.5703441
0.02050205,-1.5519608
0.02060206,-1.5335827
0.02070207,-1.5151997
0.02080208,-1.4968203
0.02090209,-1.4784389
0.0210021,-1.4600614
0.02110211,-1.4416808
0.02120212,-1.4232994
0.02130213,-1.4049208
0.021402141,-1.3865385
0.02150215,-1.3681574
0.02160216,-1.3497789
0.02170217,-1.331398
0.02180218,-1.3130205
0.02190219,-1.2946378
0.0220022,-1.2762573
0.02210221,-1.2578788
0.02220222,-1.2394984
0.02230223,-1.2211165
0.02240224,-1.2027348
0.022502251,-1.1843551
0.02260226,-1.1659752
0.022702271,-1.1475947
0.02280228,-1.1292157
0.02290229,-1.1108364
0.0230023,-1.0924518
0.02310231,-1.0740724
0.02320232,-1.0556933
0.02330233,-1.0373142
0.02340234,-1.0189307
0.02350235,-1.0005518
0.02360236,-0.98217225
0.02370237,-0.9637898
0.023802381,-0.9454112
0.02390239,-0.92702854
0.024002401,-0.9086492
0.02410241,-0.8902708
0.02420242,-0.8718915
0.02430243,-0.8535092
0.02440244,-0.8351295
0.02450245,-0.81675196
0.02460246,-0.79836893
0.02470247,-0.77998793
0.02480248,-0.7616116
0.02490249,-0.74322796
0.0250025,-0.72484505
0.025102511,-0.7064674
0.02520252,-0.6880877
0.02530253,-0.66970766
0.02540254,-0.65132594
0.02550255,-0.6329465
0.02560256,-0.6145674
0.02570257,-0.5961838
0.02580258,-0.57780516
0.02590259,-0.5594262
0.0260026,-0.54104257
0.02610261,-0.52266467
0.026202621,-0.5042833
0.02630263,-0.48590252
0.026402641,-0.4675226
0.02650265,-0.44914326
0.02660266,-0.43075976
0.02670267,-0.41238174
0.02680268,-0.39400277
0.02690269,-0.37562332
0.0270027,-0.35723886
0.02710271,-0.3388599
0.02720272,-0.32048354
0.02730273,-0.30210003
0.02740274,-0.2837201
0.027502751,-0.26534232
0.02760276,-0.24696049
0.027702771,-0.22858009
0.02780278,-0.21019992
0.02790279,-0.19181857
0.0280028,-0.17343745
0.02810281,-0.15505871
0.02820282,-0.13667807
0.02830283,-0.11829886
0.02840284,-0.099917024
0.02850285,-0.08153972
0.02860286,-0.063155025
0.02870287,-0.044776767
0.028802881,-0.026396126
0.02890289,-0.008015245
0.029002901,0.01036492
0.02910291,0.028744131
0.02920292,0.047125727
0.02930293,0.06550351
0.02940294,0.08388606
0.02950295,0.10226694
0.02960296,0.120645195
0.02970297,0.13902941
0.02980298,0.15740767
0.02990299,0.17578831
0.030003,0.19416729
0.030103011,0.21254817
0.03020302,0.23092905
0.030303031,0.24930945
0.03040304,0.26768818
0.03050305,0.28606954
0.03060306,0.30444852
0.03070307,0.3228294
0.03080308,0.34121004
0.03090309,0.35958925
0.0310031,0.37797132
0.03110311,0.396351
0.031203121,0.4147295
0.03130313,0.43310943
0.03140314,0.45149198
0.031503152,0.46987215
0.03160316,0.48825517
0.03170317,0.506636
0.03180318,0.52501357
0.03190319,0.54339564
0.0320032,0.5617744
0.03210321,0.58015406
0.03220322,0.5985373
0.03230323,0.6169139
0.03240324,0.6352936
